Id,MSZoning,Neighborhood,Street,LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SalePrice
1,RL,CollgCr,Pave,8450,7,5,2003,1710,3,2,8,2,548,Normal,208500
2,RL,Veenker,Pave,9600,6,8,1976,1262,3,2,6,2,460,Normal,181500
3,RL,CollgCr,Pave,11250,7,5,2001,1786,3,2,6,2,608,Normal,223500
4,RL,Crawfor,Pave,9550,7,5,1915,1717,3,1,7,3,642,Abnorml,140000
5,RL,NoRidge,Pave,14260,8,5,2000,2198,4,2,9,3,836,Normal,250000
6,RL,Mitchel,Pave,14115,5,5,1993,1362,1,1,5,2,480,Normal,143000
7,RL,Somerst,Pave,10084,8,5,2004,1694,3,2,7,2,636,Normal,307000
8,RL,NWAmes,Pave,10382,7,6,1973,2090,3,2,7,2,484,Normal,200000
9,RM,OldTown,Pave,6120,7,5,1931,1774,2,2,8,2,468,Abnorml,129900
10,RL,BrkSide,Pave,7420,5,6,1939,1077,2,1,5,1,205,Normal,118000
11,RL,Sawyer,Pave,11200,5,5,1965,1040,3,1,5,1,384,Normal,129500
13,RL,Sawyer,Pave,12968,5,6,1962,912,2,1,4,1,352,Normal,144000
14,RL,CollgCr,Pave,10652,7,5,2006,1494,3,2,7,3,840,Partial,279500
15,RL,NAmes,Pave,10920,6,5,1960,1253,2,1,5,1,352,Normal,157000
16,RM,BrkSide,Pave,6120,7,8,1929,854,2,1,5,2,576,Normal,132000
17,RL,NAmes,Pave,11241,6,7,1970,1004,2,1,5,2,480,Normal,149000
18,RL,Sawyer,Pave,10791,4,5,1967,1296,2,2,6,2,516,Normal,90000
19,RL,SawyerW,Pave,13695,5,5,2004,1114,3,1,6,2,576,Normal,159000
20,RL,NAmes,Pave,7560,5,6,1958,1339,3,1,6,1,294,Abnorml,139000
22,RM,IDOTRR,Pave,7449,7,7,1930,1108,3,1,6,1,280,Normal,139400
23,RL,CollgCr,Pave,9742,8,5,2002,1795,3,2,7,2,534,Normal,230000
24,RM,MeadowV,Pave,4224,5,7,1976,1060,3,1,6,2,572,Normal,129900
25,RL,Sawyer,Pave,8246,5,8,1968,1060,3,1,6,1,270,Normal,154000
26,RL,NridgHt,Pave,14230,8,5,2007,1600,3,2,7,3,890,Normal,256300
27,RL,NAmes,Pave,7200,5,7,1951,900,3,1,5,2,576,Normal,134800
28,RL,NridgHt,Pave,11478,8,5,2007,1704,3,2,7,3,772,Normal,306000
29,RL,NAmes,Pave,16321,5,6,1957,1600,2,1,6,1,319,Normal,207500
30,RM,BrkSide,Pave,6324,4,6,1927,520,1,1,4,1,240,Normal,68500
31,C (all),IDOTRR,Pave,8500,4,4,1920,1317,3,1,6,1,250,Normal,40000
32,RL,Sawyer,Pave,8544,5,6,1966,1228,3,1,6,1,271,Normal,149350
33,RL,CollgCr,Pave,11049,8,5,2007,1234,3,2,7,2,484,Normal,179900
34,RL,NAmes,Pave,10552,5,5,1959,1700,4,1,6,2,447,Normal,165500
35,RL,NridgHt,Pave,7313,9,5,2005,1561,2,2,6,2,556,Normal,277500
36,RL,NridgHt,Pave,13418,8,5,2004,2452,4,3,9,3,691,Normal,309000
37,RL,CollgCr,Pave,10859,5,5,1994,1097,3,1,6,2,672,Normal,145000
38,RL,NAmes,Pave,8532,5,6,1954,1297,3,1,5,2,498,Normal,153000
39,RL,NAmes,Pave,7922,5,7,1953,1057,3,1,5,1,246,Abnorml,109000
